    500.0     0.0   0.83 
   500.83     0.0   0.84 
   501.67     0.0   0.84 
   502.51     0.0   0.84 
   503.35     0.0   0.84 
   504.19     0.0   0.84 
   505.03     0.0   0.84 
   505.87     0.0   0.85 
   506.72     0.0   0.84 
   507.56     0.0   0.85 
   508.41     0.0   0.85 
   509.26     0.0   0.85 
   510.11     0.0   0.85 
   510.96     0.0   0.85 
   511.81     0.0   0.86 
   512.67     0.0   0.85 
   513.52     0.0   0.86 
   514.38     0.0   0.86 
   515.24     0.0   0.86 
    516.1     0.0   0.86 
   516.96     0.0   0.86 
   517.82     0.0   0.87 
   518.69     0.0   0.86 
   519.55     0.0   0.87 
   520.42     0.0   0.87 
   521.29     0.0   0.87 
   522.16     0.0   0.87 
   523.03     0.0   0.87 
    523.9     0.0   0.88 
   524.78     0.0   0.87 
   525.65     0.0   0.88 
   526.53     0.0   0.88 
   527.41     0.0   0.88 
   528.29     0.0   0.88 
   529.17     0.0   0.89 
   530.06     0.0   0.88 
   530.94     0.0   0.89 
   531.83     0.0   0.88 
   532.71     0.0   0.89 
    533.6     0.0   0.89 
   534.49     0.0    0.9 
   535.39     0.0   0.89 
   536.28     0.0    0.9 
   537.18     0.0   0.89 
   538.07     0.0    0.9 
   538.97     0.0    0.9 
   539.87     0.0    0.9 
   540.77     0.0    0.9 
   541.67     0.0   0.91 
   542.58     0.0    0.9 
   543.48     0.0   0.91 
   544.39     0.0   0.91 
    545.3     0.0   0.91 
   546.21     0.0   0.91 
   547.12     0.0   0.91 
   548.03     0.0   0.92 
   548.95     0.0   0.92 
   549.87     0.0   0.91 
   550.78     0.0   0.92 
    551.7     0.0   0.92 
   552.62     0.0   0.93 
   553.55     0.0   0.92 
   554.47     0.0   0.93 
    555.4     0.0   0.92 
   556.32     0.0   0.93 
   557.25     0.0   0.93 
   558.18     0.0   0.93 
   559.11     0.0   0.94 
   560.05     0.0   0.93 
   560.98     0.0   0.94 
   561.92     0.0   0.94 
   562.86     0.0   0.94 
    563.8     0.0   0.94 
   564.74     0.0   0.94 
   565.68     0.0   0.94 
   566.62     0.0   0.95 
   567.57     0.0   0.95 
   568.52     0.0   0.95 
   569.47     0.0   0.95 
   570.42     0.0   0.95 
   571.37     0.0   0.95 
   572.32     0.0   0.96 
   573.28     0.0   0.95 
   574.23     0.0   0.96 
   575.19     0.0   0.96 
   576.15     0.0   0.96 
   577.11     0.0   0.97 
   578.08     0.0   0.96 
   579.04     0.0   0.97 
   580.01     0.0   0.97 
   580.98     0.0   0.97 
   581.95     0.0   0.97 
   582.92     0.0   0.97 
   583.89     0.0   0.98 
   584.87     0.0   0.97 
   585.84     0.0   0.98 
   586.82     0.0   0.98 
    587.8     0.0   0.98 
   588.78     0.0   0.98 
   589.76     0.0   0.99 
   590.75     0.0   0.98 
   591.73     0.0   0.99 
   592.72     0.0   0.99 
   593.71     0.0   0.99 
    594.7     0.0    1.0 
    595.7     0.0   0.99 
   596.69     0.0    1.0 
   597.69     0.0   0.99 
   598.68     0.0    1.0 
   599.68     0.0    1.0 
   600.68     0.0   1.01 
   601.69     0.0    1.0 
   602.69     0.0   1.01 
    603.7     0.0    1.0 
    604.7     0.0   1.01 
   605.71     0.0   1.01 
   606.72     0.0   1.02 
   607.74     0.0   1.01 
   608.75     0.0   1.02 
   609.77     0.0   1.02 
   610.79     0.0   1.02 
   611.81     0.0   1.02 
   612.83     0.0   1.02 
   613.85     0.0   1.02 
   614.87     0.0   1.03 
    615.9     0.0   1.03 
   616.93     0.0   1.03 
   617.96     0.0   1.03 
   618.99     0.0   1.03 
   620.02     0.0   1.04 
   621.06     0.0   1.03 
   622.09     0.0   1.04 
   623.13     0.0   1.04 
   624.17     0.0   1.05 
   625.22     0.0   1.04 
   626.26     0.0   1.04 
    627.3     0.0   1.05 
   628.35     0.0   1.05 
    629.4     0.0   1.05 
   630.45     0.0   1.05 
    631.5     0.0   1.06 
   632.56     0.0   1.05 
   633.61     0.0   1.06 
   634.67     0.0   1.06 
   635.73     0.0   1.06 
   636.79     0.0   1.06 
   637.85     0.0   1.07 
   638.92     0.0   1.07 
   639.99     0.0   1.06 
   641.05     0.0   1.07 
   642.12     0.0   1.08 
    643.2     0.0   1.07 
   644.27     0.0   1.07 
   645.34     0.0   1.08 
   646.42     0.0   1.08 
    647.5     0.0   1.08 
   648.58     0.0   1.08 
   649.66     0.0   1.09 
   650.75     0.0   1.09 
   651.84     0.0   1.08 
   652.92     0.0   1.09 
   654.01     0.0   1.09 
    655.1     0.0    1.1 
    656.2     0.0   1.09 
   657.29     0.0    1.1 
   658.39     0.0    1.1 
   659.49     0.0    1.1 
   660.59     0.0    1.1 
   661.69     0.0   1.11 
    662.8     0.0    1.1 
    663.9     0.0   1.11 
   665.01     0.0   1.11 
   666.12     0.0   1.11 
   667.23     0.0   1.12 
   668.35     0.0   1.11 
   669.46     0.0   1.12 
   670.58     0.0   1.12 
    671.7     0.0   1.12 
   672.82     0.0   1.12 
   673.94     0.0   1.13 
   675.07     0.0   1.13 
    676.2     0.0   1.13 
   677.33     0.0   1.13 
   678.46     0.0   1.13 
   679.59     0.0   1.13 
   680.72     0.0   1.14 
   681.86     0.0   1.14 
    683.0     0.0   1.14 
   684.14     0.0   1.14 
   685.28     0.0   1.14 
   686.42     0.0   1.15 
   687.57     0.0   1.15 
   688.72     0.0   1.15 
   689.87     0.0   1.15 
   691.02     0.0   1.15 
   692.17     0.0   1.16 
   693.33     0.0   1.15 
   694.48     0.0   1.16 
   695.64     0.0   1.16 
    696.8     0.0   1.17 
   697.97     0.0   1.16 
   699.13     0.0   1.17 
    700.3     0.0   1.17 
   701.47     0.0   1.17 
   702.64     0.0   1.17 
   703.81     0.0   1.18 
   704.99     0.0   1.17 
   706.16     0.0   1.18 
   707.34     0.0   1.18 
   708.52     0.0   1.19 
   709.71     0.0   1.18 
   710.89     0.0   1.19 
   712.08     0.0   1.19 
   713.27     0.0   1.19 
   714.46     0.0   1.19 
   715.65     0.0   1.19 
   716.84     0.0    1.2 
   718.04     0.0    1.2 
   719.24     0.0    1.2 
   720.44     0.0    1.2 
   721.64     0.0   1.21 
   722.85     0.0    1.2 
   724.05     0.0   1.21 
   725.26     0.0   1.21 
   726.47     0.0   1.21 
   727.68     0.0   1.22 
    728.9     0.0   1.22 
   730.12     0.0   1.21 
   731.33     0.0   1.23 
   732.56     0.0   1.22 
   733.78     0.0   1.22 
    735.0     0.0   1.23 
   736.23     0.0   1.23 
   737.46     0.0   1.23 
   738.69     0.0   1.23 
   739.92     0.0   1.24 
   741.16     0.0   1.24 
    742.4     0.0   1.23 
   743.63     0.0   1.25 
   744.88     0.0   1.24 
   746.12     0.0   1.24 
   747.36     0.0   1.25 
   748.61     0.0   1.25 
   749.86     0.0   1.25 
   751.11     0.0   1.26 
   752.37     0.0   1.25 
   753.62     0.0   1.26 
   754.88     0.0   1.26 
   756.14     0.0   1.26 
    757.4     0.0   1.27 
   758.67     0.0   1.26 
   759.93     0.0   1.27 
    761.2     0.0   1.27 
   762.47     0.0   1.28 
   763.75     0.0   1.27 
   765.02     0.0   1.28 
    766.3     0.0   1.28 
   767.58     0.0   1.28 
   768.86     0.0   1.28 
   770.14     0.0   1.29 
   771.43     0.0   1.28 
   772.71     0.0   1.29 
    774.0     0.0    1.3 
    775.3     0.0   1.29 
   776.59     0.0    1.3 
   777.89     0.0   1.29 
   779.18     0.0   1.31 
   780.49     0.0    1.3 
   781.79     0.0    1.3 
   783.09     0.0   1.31 
    784.4     0.0   1.31 
   785.71     0.0   1.31 
   787.02     0.0   1.32 
   788.34     0.0   1.31 
   789.65     0.0   1.32 
   790.97     0.0   1.32 
   792.29     0.0   1.32 
   793.61     0.0   1.33 
   794.94     0.0   1.32 
   796.26     0.0   1.33 
   797.59     0.0   1.33 
   798.92     0.0   1.34 
   800.26     0.0   1.33 
   801.59     0.0   1.34 
   802.93     0.0   1.34 
   804.27     0.0   1.34 
   805.61     0.0   1.35 
   806.96     0.0   1.35 
   808.31     0.0   1.35 
   809.66     0.0   1.35 
   811.01     0.0   1.35 
   812.36     0.0   1.36 
   813.72     0.0   1.35 
   815.07     0.0   1.37 
   816.44     0.0   1.36 
    817.8     0.0   1.36 
   819.16     0.0   1.37 
   820.53     0.0   1.37 
    821.9     0.0   1.37 
   823.27     0.0   1.38 
   824.65     0.0   1.37 
   826.02     0.0   1.38 
    827.4     0.0   1.38 
   828.78     0.0   1.39 
   830.17     0.0   1.38 
   831.55     0.0   1.39 
   832.94     0.0   1.39 
   834.33     0.0   1.39 
   835.72     0.0    1.4 
   837.12     0.0    1.4 
   838.52     0.0   1.39 
   839.91     0.0   1.41 
   841.32     0.0    1.4 
   842.72     0.0   1.41 
   844.13     0.0   1.41 
   845.54     0.0   1.41 
   846.95     0.0   1.41 
   848.36     0.0   1.42 
   849.78     0.0   1.42 
    851.2     0.0   1.42 
   852.62     0.0   1.42 
   854.04     0.0   1.43 
   855.47     0.0   1.42 
   856.89     0.0   1.43 
   858.32     0.0   1.44 
   859.76     0.0   1.43 
   861.19     0.0   1.44 
   862.63     0.0   1.44 
   864.07     0.0   1.44 
   865.51     0.0   1.45 
   866.96     0.0   1.44 
    868.4     0.0   1.45 
   869.85     0.0   1.46 
   871.31     0.0   1.45 
   872.76     0.0   1.46 
   874.22     0.0   1.46 
   875.68     0.0   1.46 
   877.14     0.0   1.46 
    878.6     0.0   1.47 
   880.07     0.0   1.47 
   881.54     0.0   1.47 
   883.01     0.0   1.47 
   884.48     0.0   1.48 
   885.96     0.0   1.48 
   887.44     0.0   1.48 
   888.92     0.0   1.48 
    890.4     0.0   1.49 
   891.89     0.0   1.49 
   893.38     0.0   1.49 
   894.87  22.606   1.49 
   896.36  22.333    1.5 
   897.86  22.114    1.5 
   899.36  21.932    1.5 
   900.86  21.776    1.5 
   902.36   21.64   1.51 
   903.87  21.518   1.51 
   905.38  21.409   1.51 
   906.89  21.309   1.51 
    908.4  21.218   1.52 
   909.92  21.133   1.52 
   911.44  21.055   1.52 
   912.96  20.981   1.52 
   914.48  20.913   1.53 
   916.01  20.848   1.53 
   917.54  20.787   1.53 
   919.07  20.729   1.53 
    920.6  20.577   1.54 
   922.14  20.326   1.54 
   923.68  20.121   1.54 
   925.22  19.949   1.55 
   926.77    19.8   1.54 
   928.31  19.669   1.55 
   929.86  19.552   1.56 
   931.42  19.446   1.55 
   932.97  19.349   1.56 
   934.53  19.261   1.56 
